FlightNumber,Date,BoosterVersion,LaunchSite,Payload,PayloadMass,Orbit,Customer,MissionOutcome,LandingOutcome,SiteGroup
76,2019-12-05,F9 B5 B1059.1,"CCAFS , SLC-40",SpaceX CRS-19 (Dragon C106.3 ♺),2617.0,LEO ( ISS ),NASA ( CRS ),Success,Success (drone ship),Cape Canaveral LC-40
77,2019-12-17,F9 B5 ♺ B1056.3,"CCAFS , SLC-40",JCSat-18 / Kacific 1,6956.0,GTO,Sky Perfect JSAT Kacific 1,Success,Success (drone ship),Cape Canaveral LC-40
78,2020-01-07,F9 B5 ♺ B1049.4,"CCAFS , SLC-40",Starlink 2 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Success (drone ship),Cape Canaveral LC-40
79,2020-01-19,F9 B5 ♺ B1046.4,"KSC , LC-39A",Crew Dragon in-flight abort test (Dragon C205.1),12050.0,Sub-orbital,NASA ( CTS ),Success,No attempt,KSC LC-39A
80,2020-01-29,F9 B5 ♺ B1051.3,"CCAFS , SLC-40",Starlink 3 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Success (drone ship),Cape Canaveral LC-40
81,2020-02-17,F9 B5 ♺ B1056.4,"CCAFS , SLC-40",Starlink 4 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Failure (drone ship),Cape Canaveral LC-40
82,2020-03-07,F9 B5 ♺ B1059.2,"CCAFS , SLC-40",SpaceX CRS-20 (Dragon C112.3 ♺),1977.0,LEO ( ISS ),NASA ( CRS ),Success,Success (ground pad),Cape Canaveral LC-40
83,2020-03-18,F9 B5 ♺ B1048.5,"KSC , LC-39A",Starlink 5 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Failure (drone ship),KSC LC-39A
84,2020-04-22,F9 B5 ♺ B1051.4,"KSC , LC-39A",Starlink 6 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Success (drone ship),KSC LC-39A
85,2020-05-30,F9 B5 B1058.1,"KSC , LC-39A",Crew Dragon Demo-2 ( Crew Dragon C206.1 Endeavour ),12530.0,LEO ( ISS ),NASA ( CCDev ),Success,Success (drone ship),KSC LC-39A
86,2020-06-04,F9 B5 ♺ B1049.5,"CCAFS , SLC-40",Starlink 7 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Success (drone ship),Cape Canaveral LC-40
87,2020-06-13,F9 B5 ♺ B1059.3,"CCAFS , SLC-40","Starlink 8 v1.0 (58 satellites), SkySats -16, -17, -18",15410.0,LEO,SpaceX Planet Labs,Success,Success (drone ship),Cape Canaveral LC-40
88,2020-06-30,F9 B5 B1060.1,"CCAFS , SLC-40",GPS III - 03 ( Matthew Henson ),4311.0,MEO,U.S. Space Force,Success,Success (drone ship),Cape Canaveral LC-40
89,2020-07-20,F9 B5 ♺ B1058.2,"CCAFS , SLC-40",ANASIS-II,6000.0,GTO,Republic of Korea Army,Success,Success (drone ship),Cape Canaveral LC-40
90,2020-08-07,F9 B5 ♺ B1051.5,"KSC , LC-39A","Starlink 9 v1.0 (57 Satellites), SXRS-1 (BlackSky Global 7 and 8)",14932.0,LEO,SpaceX Spaceflight Industries (BlackSky),Success,Success (drone ship),KSC LC-39A
91,2020-08-18,F9 B5 ♺ B1049.6,"CCAFS , SLC-40","Starlink 10 v1.0 (58 satellites) SkySat -19, -20, -21",15440.0,LEO,SpaceX Planet Labs,Success,Success (drone ship),Cape Canaveral LC-40
92,2020-08-30,F9 B5 ♺ B1059.4,"CCAFS , SLC-40",SAOCOM 1B GNOMES 1 Tyvak-0172,3130.0,SSO,CONAE PlanetIQ Tyvak,Success,Success (ground pad),Cape Canaveral LC-40
93,2020-09-03,F9 B5 ♺ B1060.2,"KSC , LC-39A",Starlink 11 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Success (drone ship),KSC LC-39A
94,2020-10-06,F9 B5 ♺ B1058.3,"KSC , LC-39A",Starlink 12 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Success (drone ship),KSC LC-39A
95,2020-10-18,F9 B5 ♺ B1051.6,"KSC , LC-39A",Starlink 13 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Success (drone ship),KSC LC-39A
96,2020-10-24,F9 B5 ♺ B1060.3,"CCAFS , SLC-40",Starlink 14 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Success (drone ship),Cape Canaveral LC-40
97,2020-11-05,F9 B5 B1062.1,"CCAFS , SLC-40",GPS III - 04 ( Sacagawea ),4311.0,MEO,USSF,Success,Success (drone ship),Cape Canaveral LC-40
98,2020-11-16,F9 B5 B1061.1,"KSC , LC-39A",Crew-1 ( Crew Dragon C207.1 Resilience ),12500.0,LEO ( ISS ),NASA ( CCP ),Success,Success (drone ship),KSC LC-39A
99,2020-11-21,F9 B5 B1063.1,"VAFB , SLC-4E",Sentinel-6 Michael Freilich (Jason-CS A),1192.0,LEO,NASA / NOAA / ESA / EUMETSAT,Success,Success (ground pad),VAFB SLC-4E
100,2020-11-25,F9 B5 ♺ B1049.7,"CCAFS , SLC-40",Starlink 15 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Success (drone ship),Cape Canaveral LC-40
101,2020-12-06,F9 B5 ♺ B1058.4,"KSC , LC-39A",SpaceX CRS-21 (Dragon C208.1),2972.0,LEO ( ISS ),NASA ( CRS ),Success,Success (drone ship),KSC LC-39A
102,2020-12-13,F9 B5 ♺ B1051.7,"CCSFS , SLC-40",SXM-7,7000.0,GTO,Sirius XM,Success,Success (drone ship),Cape Canaveral LC-40
103,2020-12-19,F9 B5 ♺ B1059.5,"KSC , LC-39A",NROL-108,,LEO,NRO,Success,Success (ground pad),KSC LC-39A
104,2021-01-08,F9 B5 ♺ B1060.4,"CCSFS , SLC-40",Türksat 5A,3500.0,GTO,Türksat,Success,Success (drone ship),Cape Canaveral LC-40
105,2021-01-20,F9 B5 ♺ B1051.8,"KSC , LC-39A",Starlink 16 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Success (drone ship),KSC LC-39A
106,2021-01-24,F9 B5 ♺ B1058.5,"CCSFS , SLC-40",Transporter-1 ( 143 smallsat rideshare ),5000.0,SSO,Various,Success,Success (drone ship),Cape Canaveral LC-40
107,2021-02-04,F9 B5 ♺ B1060.5,"CCSFS , SLC-40",Starlink 18 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Success (drone ship),Cape Canaveral LC-40
108,2021-02-16,F9 B5 ♺ B1059.6,"CCSFS , SLC-40",Starlink 19 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Failure (drone ship),Cape Canaveral LC-40
109,2021-03-04,F9 B5 ♺ B1049.8,"KSC , LC-39A",Starlink 17 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Success (drone ship),KSC LC-39A
110,2021-03-11,F9 B5 ♺ B1058.6,"CCSFS , SLC-40",Starlink 20 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Success (drone ship),Cape Canaveral LC-40
111,2021-03-14,F9 B5 ♺ B1051.9,"KSC , LC-39A",Starlink 21 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Success (drone ship),KSC LC-39A
112,2021-03-24,F9 B5 ♺ B1060.6,"CCSFS , SLC-40",Starlink 22 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Success (drone ship),Cape Canaveral LC-40
113,2021-04-07,F9 B5 ♺ B1058.7,"CCSFS , SLC-40",Starlink 23 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Success (drone ship),Cape Canaveral LC-40
114,2021-04-23,F9 B5 ♺ B1061.2,"KSC , LC-39A",Crew-2 ( Crew Dragon C206.2 Endeavour ♺),13000.0,LEO ( ISS ),NASA ( CTS ),Success,Success (drone ship),KSC LC-39A
115,2021-04-29,F9 B5 ♺ B1060.7,"CCSFS , SLC-40",Starlink 24 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Success (drone ship),Cape Canaveral LC-40
116,2021-05-04,F9 B5 ♺ B1049.9,"KSC , LC-39A",Starlink 25 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Success (drone ship),KSC LC-39A
117,2021-05-09,F9 B5 ♺ B1051.10,"CCSFS , SLC-40",Starlink 27 v1.0 (60 satellites),15600.0,LEO,SpaceX,Success,Success (drone ship),Cape Canaveral LC-40
118,2021-05-15,F9 B5 ♺ B1058.8,"KSC , LC-39A",Starlink 26 v1.0 (52 Satellites) Capella -6 & Tyvak -0130,14000.0,LEO,SpaceX Capella Space and Tyvak,Success,Success (drone ship),KSC LC-39A
119,2021-05-26,F9 B5 ♺ B1063.2,"CCSFS , SLC-40",Starlink 28 v1.0 (60 Satellites),15600.0,LEO,SpaceX,Success,Success (drone ship),Cape Canaveral LC-40
120,2021-06-03,F9 B5 B1067.1,"KSC , LC-39A",SpaceX CRS-22 ( Dragon C209.1 ),3328.0,LEO ( ISS ),NASA ( CRS ),Success,Success (drone ship),KSC LC-39A
121,2021-06-06,F9 B5 ♺ B1061.3,"CCSFS , SLC-40",SXM-8,7000.0,GTO,Sirius XM,Success,Success (drone ship),Cape Canaveral LC-40
